archivo_origen,mes_carpeta,extension,tipo_error,detalle,requiere_revision_manual
Promociones\AGOSTO\9564_HASTA 90_ DE DESCUENTO EN MUEBLES - ÚLTIMAS PIEZAS- MEC 14218.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9565_COMPRAS Y MAX - EXHIBIDOR PARA ROTULADOR.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
"Promociones\AGOSTO\9566_En la compra mínima de $1000, obtén dos pases a Hasbro city_Septiembre.doc",AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9567_Promociones PAPELERIA_Septiembre.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
"Promociones\AGOSTO\9568_ESCRITORIO DE TRABAJO LASKER DE $4,299 A $3,899 - MEC 14224.doc",AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
"Promociones\AGOSTO\9569_SILLA DE VISITA BURSA DE $2,999 A $2,499.doc",AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9436_ACTUALIZACIÓN PRECIOS PAPELERIA_JULIO 2024.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9437_Compras y max - ACTUALIZACION PRECIOS MUEBLES.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9439_Compras y max - 2X1 Y HASTA 40_ EN PRODUCTOS SELECCIONADOS DE OFICINA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9440_Compras y max - ACTUALIZACIÓN DE PRECIO TAPETE PARA CORTE.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9441_PAPELERIA_JULIO 2024_B.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9442_Compras y max - ACTUALIZACIÓN DE PRECIOS.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9443_Compras y max - FINES DE SEMANA JULIO 15_ SILLAS Y ESCRITORIOS.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9445_PAPELERIA_JULIO 2024 SEGUNDA SEMANA (1).doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9446_ACTUALIZACIÓN PRECIOS PAPELERIA_JULIO 2024_SEGUNDA SEMANA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9447_Compras y max - CONFIRMACIÓN MECANICAS 13943 Y 14053 OFICINA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9448_Compras y max - ENVIO BOLSAS BTS.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9449_Compras y max - 20_ EN POST IT SELECCIONADOS.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9450_Compras y max - ACTUALIZACIÓN DE PRECIOS IMPORT.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9451_Boletín Compras y Max ( ACTUALIZACION CATALOGO PARA UNIFILA (CHECK OUT POR CONCEPTO).docx,JULIO,.docx,advertencia,sin SKU detectable,SI
Promociones\JULIO\9452_Compras y max - ACTUALIZACIÓN MECANICA 14053 OFICINA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9453_PRODUCTO ADOPTADO JULIO TECNOLOGIA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9454_COMPRAS Y MAX - GARANTÍAS TECNOLOGÍA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9455_40_ DE DESCUENTO EN ARTICULOS DE ESCRITORIO.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9456_Compras y max - RTV CHECK OUT (1).doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9457_Compras y max - PROCESO RTV ORGANICA SALUDABLE.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9458_Compras y max - FOLIOS RTV CHECK OUT.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9459_Compras y max - CAMBIO PRECIO MUEBLES.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9460_Compras y max - 20_ EN POST IT SELECCIONADOS ACTUALIZACIÓN.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9461_Compras y max - STAMP STICK SELLO MÁS REFIL POR $399.00 JULIO.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9462_CONCURSO BIC TEMPORADA BTS 2024.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9462_Concurso Office Max  2024_BIC.pdf,JULIO,.pdf,advertencia,sin SKU detectable,SI
Promociones\JULIO\9463_PAPELERIA_JULIO 2024 TERCERA SEMANA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9464_3x2 EN CAJA PLÁSTICA DE 9 LTS- COMPRAS Y MAX MEC 14090.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
