store_nbr,store_nm,tran_date,tran_nbr,bl,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,gpo_compra,prod_nbr,marca,tipo_marca,qty,net_sale,venta_con_iva,mess_unit,apparent_unit cost,costo calculado,precio,costo * qty,utilidad,margen,Estatus,Ecologicos,clasificacion_retail,estatus_operativo
T052,Hermosillo                    ,04/08/2024,86519,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,20533,OFFICE DEPOT ASIA HOLDING,9010101,50061998,OFFICEMAX,Marca Propia,1,18.04,20.93,ST,6.684,11.96,25.78,11.96,6.08,0.3368,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T085,PLAYA DEL CARMEN PERUGIA      ,15/04/2024,57728,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,11496,"3M MEXICO,",9010101,50093479,POST-IT,Marca Externa,1,30.6,35.5,ST,24.732,25.6,30.6,25.6,5,0.1632,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T012,Leon                          ,15/11/2025,66339,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,20533,OFFICE DEPOT ASIA HOLDING,9010101,50061998,OFFICEMAX,Marca Propia,2,77.41,89.8,ST,6.684,22.415,25.78,44.83,32.58,0.4208,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T055,Ciudad Del Carmen             ,12/01/2026,91152,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,11496,"3M MEXICO,",9010101,50132072,3M MEXICO,Marca Externa,1,125,145,ST,93.24,101.35,125,101.35,23.65,0.1892,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T066,Jurica Queretaro              ,06/04/2025,50795,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,20533,OFFICE DEPOT ASIA HOLDING,9010101,50061998,OFFICEMAX,Marca Propia,1,25.78,29.9,ST,6.684,15.83,25.78,15.83,9.95,0.386,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T034,Condesa                       ,28/12/2025,40099,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,10155,JANEL,9010101,50063614,OFFICEMAX,Marca Propia,1,124.14,144,ST,68.856,90.77,99.14,90.77,33.38,0.2688,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T028,San Luis Potosi               ,09/07/2024,19014,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,11496,"3M MEXICO,",9010101,50090631,POST-IT,Marca Externa,1,82.69,95.92,ST,79.068,74.28,111.21,74.28,8.41,0.1016,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T010,Cancun                        ,16/10/2024,54048,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,20533,OFFICE DEPOT ASIA HOLDING,9010103,50113329,STUK,Marca Propia,1,25.78,29.9,ST,8.232,16.32,25.78,16.32,9.46,0.367,N,EcolÂ¾gico,Tienda Igual Retail,Activa
T050,Toluca Aeropuerto             ,31/08/2025,35032,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,20533,OFFICE DEPOT ASIA HOLDING,9010103,50125201,OFFICEMAX,Marca Propia,1,35.34,41,ST,15.96,24.33,35.34,24.33,11.02,0.3117,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T043,Tijuana                       ,10/01/2025,94568,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,20533,OFFICE DEPOT ASIA HOLDING,9010101,50061998,OFFICEMAX,Marca Propia,2,55.37,59.8,ST,6.684,16.64,25.78,33.28,22.09,0.3989,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T064,San Jose del Cabo             ,06/12/2025,28437,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,10155,JANEL,9010101,50061971,OFFICEMAX,Marca Propia,1,77.5,89.9,ST,45.564,57.73,67.16,57.73,19.77,0.255,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T041,Queretaro II                  ,22/09/2025,89818,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,20533,OFFICE DEPOT ASIA HOLDING,9010101,50130950,NINGBO SYL,Marca Externa,1,73.28,85,ST,36.972,52.05,93.97,52.05,21.23,0.2898,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T047,Los Cabos                     ,27/07/2024,63535,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,20533,OFFICE DEPOT ASIA HOLDING,9010101,50125220,OFFICEMAX,Marca Propia,1,55.6,64.5,ST,28.776,36.85,98.28,36.85,18.75,0.3371,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T005,San Agustin                   ,16/07/2025,34305,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,20533,OFFICE DEPOT ASIA HOLDING,9010101,50061998,OFFICEMAX,Marca Propia,2,72.41,84,ST,6.684,21.15,25.78,42.3,30.1,0.4158,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T036,Palmas                        ,21/08/2025,36473,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,11496,"3M MEXICO,",9010104,50092466,POST-IT,Marca Externa,2,343.1,398,ST,117.888,136.855,154.31,273.71,69.39,0.2022,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T082,Salina Cruz                   ,09/08/2025,83929,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,20533,OFFICE DEPOT ASIA HOLDING,9010103,50125194,OFFICEMAX,Marca Propia,1,35.34,41,ST,15.96,24.33,35.34,24.33,11.02,0.3117,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T033,Gonzalitos                    ,15/02/2026,27498,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,13574,MOO-VINGO MEXICO,9010101,50118625,VINGO MEXI,Marca Externa,1,21.55,25,ST,13.116,16.24,21.55,16.24,5.31,0.2464,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
