prod_nbr,prod_nm,dept_cd,apparent_unit_cost
50086004,SILLA EJECUTIVA LEICA NEGRO,1,2687.538
50086132,RESTIRADOR VICENZO BLANCO,1,3323.050073
50086334,ESCRITORIO EN L MADISON GRIS,1,5071.206
50090513,ESCRITORIO DE TRABAJO MINOT,1,4968.075
50090515,ESCRITORIO DE TRABAJO CASCIA B,1,4672.265693
50091122,SILLA APILABLE DURAN NEGRO,1,1385.385411
50093477,CAJA FUERTE DIGITAL SFW082ET,1,6876.52439
50093478,CAJA FUERTE DIGITAL SFW123GTC,1,9785.670412
50093852,SILLA EJECUTIVA MUMBAI NEGRO,1,2942.461079
50093858,SILLA EJECUTIVA BRIG GRIS,1,4125.856901
50094503,SILLA EJECUTIVA PRAGA,1,3758.193904
50094546,SILLA APILABLE TOLEDO NEGRO,1,1792.158529
50094551,SILLA EJECUTIVA ATESSA,1,5869.225165
50094967,SILLA DE VISITA AQUARIUS NEGRO,1,3867.465
50094974,ESCRITORIO DE TRABAJO KANSAS B,1,3959.689125
50098554,ESCRITORIO DE TRABAJO ESLOV,1,5215.124632
50100949,SILLA EJECUTIVA GINEBRA CAFE,1,4217.163
50100951,SILLA EJECUTIVA CACERES NEGRA,1,3959.397273
50100987,SILLA GAMER BRONI NEGRO,1,3745.875535
50102592,SILLA BASICA DE OFICINA PRADO,1,2731.659
50102806,SILLA BASICA DE OFIC RIAD NG,1,2494.536765
50103495,SILLA BASICA DE OFICINA FRIBUR,1,2770.908
50103497,SILLA BASICA DE OFICINA BRAGA,1,2168.885892
50103498,SILLA BASIC DE OFIC BRISTOL NG,1,2148.075458
50104181,SILLA EJECUTIVA CONWY CAFE,1,3073.046866
50104844,SILLA EJECUTIVA RENA,1,5135.714549
50104898,SILLA EJECUTIVA ALBI,1,6432.932471
50106206,SILLA PLEGABLE RAMAS NEGRA,1,736.2670134
50106208,SILLA BASICA OFICINA BARU,1,2153.586112
50106209,ESCRITORIO EN L SIERPE,1,6484.19186
50106213,ESCRITORIO EN L NOVA,1,5446.702375
50106214,ESCRITORIO PLEGABLE CABO,1,1694.6615
50106487,BANCO METALICO POLIPRO,1,1071.297868
50106983,ESCRITORIO 2 CAJONES NOGAL,1,3995.699056
50106987,ESCRITORIO DE OFICINA NOGAL,1,5613.513804
50106989,MESA REDONDA NOGAL,1,5094.965212
50106993,LIBRERO ENTREPANOS CHOCOLATE,1,3490.515
50108132,SILLA EJECUTIVA EVORA GRIS,1,2196.596348
50109834,ESCRITORIO EN L MADISON 2 GRIS,1,4119.673304
50109835,ESCRITORIO DE TRABAJO MONT,1,3599.121354
50109837,ESCRITORIO DE TRABAJO HELLER 2,1,2963.669564
50109932,ESCRITORIO DE TRABAJO BANFF,1,4142.082
50110098,ESCRITORIO DE TRABAJO BENIN MP,1,1675.416972
50110230,SILLA EJECUTIVA KEYSER GRIS,1,4148.256
50110232,SILLA EJECUTIVA BRIO NEGRO,1,3540.123621
50110233,SILLA EJECUTIVA BRIO GRIS,1,3466.69092
50110239,ESCRITORIO DE TRABAJO NEIVA MA,1,5392.17
50110240,ESCRITORIO EN L FOSTER NATURAL,1,6579.195
50110242,ESCRITORIO EN L SACER NEGRO,1,5977.86
50110243,ESCRITORIO GAMER FORLI NEGRO,1,5602.401
50110247,ESCRITORIO DE TRABAJO GELA NEG,1,4245.488379
50110255,ESCRITORIO DE TRABAJO TERUEL M,1,4982.754
50110258,ESCRITORIO EN L CASTILLA MAPLE,1,3596.2269
50110259,SILLA OFIC VITORI AQUA MESH,1,3354.687
50110263,SILLA BASICA OFICINA VITORI NG,1,3039.666
50110265,SILLA BASICA OFICINA VITORI GR,1,3220.413
50110961,CAJA FUERTE X014ENAFHROMX,1,2374.911
50111039,ESCRITORIO ESTUDIANTIL METZ BL,1,4401.87258
50111077,SILLA BASICA DE OFICINA DOHA,1,1825.190373
50111138,ESCRITORIO AJUSTABLE CROTONE N,1,7421.862
50111249,SILLA BASICA DE OFI NEVEZ 2 NG,1,1468.831
50111250,SILLA EJECUTIVA LEICA 2 NEGRO,1,2029.671239
50111874,SILLA EJECUTIVA MUMBAI GRIS,1,3030.975
50112443,MESA ALARGADA DE JUNTAS BASE G,1,8575.027938
50112650,SILLA PLEGABLE BLANCA,1,950.859
50113322,ARCHIVERO 3 GAVETAS NEG,1,4198.761
50113324,ARCHIVERO 3 GAVETAS BLANCO,1,4756.697894
50113754,SILLA BASICA DE OFIC FIONA,1,1667.238
50114461,ARCHIVERO NEGRO 4 GAVETAS CART,1,5284.899229
50114462,GABINETE MULTIUSOS NEGRO,1,6028.567352
50114463,ARCHIVERO 2 GAVETAS NEGRO,1,4910.481639
50114482,ESCRIT ALTEREGO FUNCTION BL,1,4573.191
50114528,MESA Y 4 SILLAS ALTEREGO GRIS,1,12240.9
50114598,SILLA ALTEREGO HELSINKI GRIS,1,1791.3
50114601,SILLON ALTEREGO SWEET GRIS-NGL,1,6084.645
50114628,ESCRITORIO EN L LAOS NEGRO,1,1718.677723
50114630,ARCHIVERO ALTEREGO LUDIK BLANC,1,6091.491
50114633,SILLA EJECUTIVA ARUBA NEGRA,1,4812.347515
50114748,ESCRITORIO INFANTIL ROSA 2 PCS,1,3168.9
50114751,ESCRITORIO ESTUDIANTIL C/LIBRE,1,4777.5
50114835,ESCRITORIO DE TRABAJO CIRO,1,4720.610525
50114837,ESCRITORIO DE TRABAJO BORIS,1,4766.896753
50114838,ESCRITORIO DE TRABAJO ENZO,1,4099.536
50114839,ESCRITORIO DE TRABAJO TRUMAN,1,4763.262
50115392,SOFA DE 2 PLAZAS DORIA AZUL,1,9654.372
50115401,MESA RECT 4 SILLAS LONDON/OSLO,1,9051.882
50115593,SILLON ALTEREGO DORIA GRIS OSC,1,7045.395
50115854,ESCRIT ALTEREG SET UP GRIS OSC,1,15886.164
