store_nbr,store_nm,tran_date,tran_nbr,bl,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,gpo_compra,prod_nbr,marca,tipo_marca,qty,net_sale,venta_con_iva,mess_unit,apparent_unit_cost,costo_calculado,precio,costo_x_qty,utilidad,margen,estatus,ecologicos,clasificacion_retail,estatus_operativo,-10%,-5%,5%,10%,-10%_dup,-5%_dup,5%_dup,10%_dup,unnamed:_39,precio_real,beta_utilizada,tipo_ventana_beta,sensibilidad_precio,en_analisis,precio_nuevo_menos_10pct,unidades_sim_menos_10pct,ingresos_sim_menos_10pct,precio_nuevo_menos_5pct,unidades_sim_menos_5pct,ingresos_sim_menos_5pct,precio_nuevo_mas_5pct,unidades_sim_mas_5pct,ingresos_sim_mas_5pct,precio_nuevo_mas_10pct,unidades_sim_mas_10pct,ingresos_sim_mas_10pct,ingresos_reales
T068,Tuxtla Gutierrez              ,2024-01-16,79230,RETAIL,10,ARTICULOS ESCOLARES,1020,BLOCKS,102001,BLOCKS CARTA,20533,OFFICE DEPOT ASIA HOLDING,10200101,50063594,VIRTUO,Marca Externa,1,116.38,135.0,ST,86.328,88.53,116.38,88.53,27.85,0.2393,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,104.742,110.561,122.199,128.018,0.9,0.95,1.05,1.1,,116.38,,No_analizado,No_en_analisis,False,104.74,1.0,104.74,110.56,1.0,110.56,122.2,1.0,122.2,128.02,1.0,128.02,116.38
T033,Gonzalitos                    ,2025-01-20,64728,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90501,ENGRAPADORAS 1/2 TIRA,12175,ACCO MEXICANA,9050101,50033288,BARRILITO,Marca Externa,4,375.86,436.0,ST,58.74,71.4575,77.5,285.83,90.03,0.2395,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,69.75,73.625,81.375,85.25,3.6,3.8,4.2,4.4,,93.965,,No_analizado,No_en_analisis,False,84.57,4.0,338.28,89.27,4.0,357.08,98.66,4.0,394.64,103.36,4.0,413.44,375.86
T077,San Isidro                    ,2024-11-03,36518,RETAIL,4,CARPETAS,405,ENMICADO Y ENGARGOLADO,40501,ENMICADO,12160,QUANTUM GRAPHICS,4050102,50076334,OFFICEMAX,Marca Propia,1,77.5,89.9,ST,51.336,60.14,77.5,60.14,17.36,0.2241,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,69.75,73.625,81.375,85.25,0.9,0.95,1.05,1.1,,77.5,,No_analizado,No_en_analisis,False,69.75,1.0,69.75,73.62,1.0,73.62,81.38,1.0,81.38,85.25,1.0,85.25,77.5
T032,Santa Fe II                   ,2025-01-30,77650,RETAIL,4,CARPETAS,403,PROTECTORES,40302,MULTIMICAS,20533,OFFICE DEPOT ASIA HOLDING,4030201,50061985,OFFICEMAX,Marca Propia,2,99.83,115.8,ST,17.268,31.79,49.91,63.58,36.25,0.3632,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,44.919,47.4145,52.4055,54.901,1.8,1.9,2.1,2.2,,49.915,,No_analizado,No_en_analisis,False,44.92,2.0,89.84,47.42,2.0,94.84,52.41,2.0,104.82,54.91,2.0,109.82,99.83
T060,LA RIOJA.                     ,2025-09-29,61733,RETAIL,10,ARTICULOS ESCOLARES,1020,BLOCKS,102001,BLOCKS CARTA,20533,OFFICE DEPOT ASIA HOLDING,10200101,50070186,OFFICEMAX,Marca Propia,1,125.0,145.0,ST,80.976,98.67,125.0,98.67,26.33,0.2106,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,112.5,118.75,131.25,137.5,0.9,0.95,1.05,1.1,,125.0,,No_analizado,No_en_analisis,False,112.5,1.0,112.5,118.75,1.0,118.75,131.25,1.0,131.25,137.5,1.0,137.5,125.0
T074,Cuernavaca II                 ,2024-07-16,56775,RETAIL,3,ARCHIVO Y ACCESORIOS,306,TARJETAS Y TARJETEROS,30601,TARJETAS INDICE BLANCAS,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,3060101,50011910,OXFORD,Marca Externa,1,21.47,24.9,ST,9.384,14.64,21.47,14.64,6.83,0.3179,A,No EcolÂ¾gico,Tienda Igual Retail,Activa,19.323,20.3965,22.5435,23.617,0.9,0.95,1.05,1.1,,21.47,,No_analizado,No_en_analisis,False,19.32,1.0,19.32,20.4,1.0,20.4,22.54,1.0,22.54,23.62,1.0,23.62,21.47
T022,Roma                          ,2024-08-25,82257,RETAIL,3,ARCHIVO Y ACCESORIOS,301,FOLDERS,30103,FOLDERS DE POLIPROPILENO,20533,OFFICE DEPOT ASIA HOLDING,3010301,50125174,STUK,Marca Propia,1,68.9,79.92,ST,62.868,60.52,93.97,60.52,8.39,0.1217,T,No EcolÂ¾gico,Tienda Igual Retail,Activa,84.573,89.2715,98.6685,103.367,0.9,0.95,1.05,1.1,,68.9,,No_analizado,No_en_analisis,False,62.01,1.0,62.01,65.46,1.0,65.46,72.35,1.0,72.35,75.79,1.0,75.79,68.9
T018,Polanco II                    ,2024-08-06,18448,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90507,DESENGRAPADORAS,20533,OFFICE DEPOT ASIA HOLDING,9050701,50065888,OFFICEMAX,Marca Propia,1,10.8,12.53,ST,9.276,9.26,15.43,9.26,1.53,0.1421,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,13.887,14.6585,16.2015,16.973,0.9,0.95,1.05,1.1,,10.8,,No_analizado,No_en_analisis,False,9.72,1.0,9.72,10.26,1.0,10.26,11.34,1.0,11.34,11.88,1.0,11.88,10.8
T038,Tabasco                       ,2024-12-03,10897,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90502,ENGRAPADORAS TIRA COMPLETA,20533,OFFICE DEPOT ASIA HOLDING,9050201,50069423,OFFICEMAX,Marca Propia,1,252.16,292.5,ST,91.104,161.94,280.17,161.94,90.22,0.3578,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,252.153,266.1615,294.1785,308.187,0.9,0.95,1.05,1.1,,252.16,,No_analizado,No_en_analisis,False,226.94,1.0,226.94,239.55,1.0,239.55,264.77,1.0,264.77,277.38,1.0,277.38,252.16
T053,La Paz                        ,2026-04-29,13072,RETAIL,4,CARPETAS,406,TABLAS SUJETA DOCUMENTOS,40603,TABLAS METALICAS,20533,OFFICE DEPOT ASIA HOLDING,4060301,50069412,OFFICEMAX,Marca Propia,1,180.17,209.0,ST,108.072,135.19,180.17,135.19,44.98,0.2497,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,162.153,171.1615,189.1785,198.187,0.9,0.95,1.05,1.1,,180.17,,No_analizado,No_en_analisis,False,162.15,1.0,162.15,171.16,1.0,171.16,189.18,1.0,189.18,198.19,1.0,198.19,180.17
