SKU,n_observaciones,r2,beta_precio,estatus
50135531,2,,,n insuficiente
50135532,6,,,n insuficiente
50135533,8,,,n insuficiente
50135534,3,,,n insuficiente
50135535,5,,,n insuficiente
50135536,10,,,n insuficiente
50135537,5,,,n insuficiente
50135538,7,,,n insuficiente
50135539,5,,,n insuficiente
50135540,2,,,n insuficiente
50135541,7,,,n insuficiente
50135542,5,,,n insuficiente
50135543,3,,,n insuficiente
50135544,8,,,n insuficiente
50135545,4,,,n insuficiente
50135546,7,,,n insuficiente
50135547,2,,,n insuficiente
50135548,3,,,n insuficiente
50135549,5,,,n insuficiente
50135551,2,,,n insuficiente
50135552,2,,,n insuficiente
